team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
New York Yankees,team roster,AL,East,"125,928,583",103,58,0.64,1,1,1,"112,287,143",Derek Jeter (7)
Boston Red Sox,team roster,AL,East,"108,366,060",93,69,0.574,2,6,9,"109,675,833",Manny Ramirez (4)
Texas Rangers,team roster,AL,West,"105,726,122",72,90,0.444,4,10,23,"88,633,500",Alex Rodriguez (1)
Arizona Diamondbacks,team roster,NL,West,"102,819,999",98,64,0.605,1,2,5,"85,247,999",Randy Johnson (10)
Los Angeles Dodgers,team roster,NL,West,"94,850,953",92,70,0.568,3,5,11,"109,105,953",Kevin Brown (3)
New York Mets,team roster,NL,East,"94,633,593",75,86,0.466,5,11,19,"93,674,428",Mo Vaughn (14)
Atlanta Braves,team roster,NL,East,"93,470,367",101,59,0.631,1,1,3,"91,936,166",Greg Maddux (11)
Seattle Mariners,team roster,AL,West,"80,282,668",93,69,0.574,3,5,10,"74,720,834",Bret Boone (49)
Cleveland Indians,team roster,AL,Central,"78,909,449",74,88,0.457,3,9,20,"92,660,001",Jim Thome (49)
San Francisco Giants,team roster,NL,West,"78,299,835",95,66,0.59,2,4,7,"63,280,167",Barry Bonds (5)
Toronto Blue Jays,team roster,AL,East,"76,864,333",78,84,0.481,3,8,17,"76,895,999",Carlos Delgado (2)
Chicago Cubs,team roster,NL,Central,"75,690,833",67,95,0.414,5,14,24,"64,515,833",Sammy Sosa (5)
St. Louis Cardinals,team roster,NL,Central,"74,660,875",97,65,0.599,1,3,6,"78,333,333",Jim Edmonds (65)
Houston Astros,team roster,NL,Central,"63,448,417",84,78,0.519,2,6,12,"60,387,667",Jeff Bagwell (16)
Anaheim Angels,team roster,AL,West,"61,721,667",99,63,0.611,2,3,4,"47,735,168",Tim Salmon (27)
Baltimore Orioles,team roster,AL,East,"60,493,487",67,95,0.414,4,11,25,"74,279,540",David Segui (86)
Philadelphia Phillies,team roster,NL,East,"57,957,999",80,81,0.497,3,8,15,"41,663,833",Scott Rolen (43)
Chicago White Sox,team roster,AL,Central,"57,052,833",81,81,0.5,2,7,14,"65,628,667",Frank Thomas (25)
Colorado Rockies,team roster,NL,West,"56,851,043",73,89,0.451,4,12,21,"71,541,334",Larry Walker (12)
Detroit Tigers,team roster,AL,Central,"55,048,000",55,106,0.342,5,14,29,"49,356,167",Dean Palmer (49)
Milwaukee Brewers,team roster,NL,Central,"50,287,833",56,106,0.346,6,16,28,"45,099,333",Jeff Hammonds (63)
Kansas City Royals,team roster,AL,Central,"47,257,000",62,100,0.383,4,12,27,"35,422,500",Mike Sweeney (49)
Cincinnati Reds,team roster,NL,Central,"45,050,390",78,84,0.481,3,10,18,"48,784,000",Barry Larkin (35)
Pittsburgh Pirates,team roster,NL,Central,"42,323,599",72,89,0.447,4,13,22,"57,760,833",Brian Giles (48)
Florida Marlins,team roster,NL,East,"41,979,917",79,83,0.488,4,9,16,"35,562,500",Cliff Floyd (93)
San Diego Padres,team roster,NL,West,"41,425,000",66,96,0.407,5,15,26,"38,882,833",Ray Lankford (47)
Minnesota Twins,team roster,AL,Central,"40,225,000",94,67,0.584,1,4,8,"24,130,000",Brad Radke (37)
Oakland Athletics,team roster,AL,West,"40,004,167",103,59,0.636,1,2,2,"33,810,750",Jermaine Dye (71)
Montreal Expos,team roster,NL,East,"38,670,500",83,79,0.512,2,7,13,"34,849,500",Vladimir Guerrero (49)
Tampa Bay Devil Rays,team roster,AL,East,"34,380,000",55,106,0.342,5,13,30,"56,980,000",Greg Vaughn (37)