team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
New York Yankees,team roster,AL,East,"208,306,817",95,67,0.586,1,3,5,"184,193,950",Alex Rodriguez (1)
Boston Red Sox,team roster,AL,East,"123,505,125",95,67,0.586,2,4,4,"127,298,500",Manny Ramirez (2)
New York Mets,team roster,NL,East,"101,305,821",83,79,0.512,4,6,13,"96,660,970",Mike Piazza (9)
Los Angeles Angels of Anaheim,team roster,AL,West,"97,725,322",95,67,0.586,1,2,3,"100,534,667",Vladimir Guerrero (23)
Philadelphia Phillies,team roster,NL,East,"95,522,000",88,74,0.543,2,4,9,"93,219,167",Jim Thome (17)
St. Louis Cardinals,team roster,NL,Central,"92,106,833",100,62,0.617,1,1,1,"83,228,333",Larry Walker (21)
San Francisco Giants,team roster,NL,West,"90,199,500",75,87,0.463,3,12,21,"82,019,166",Barry Bonds (2)
Seattle Mariners,team roster,AL,West,"87,754,334",69,93,0.426,4,12,26,"81,515,834",Ichiro Suzuki (23)
Chicago Cubs,team roster,NL,Central,"87,032,933",79,83,0.488,4,10,19,"90,560,000",Kerry Wood (47)
Atlanta Braves,team roster,NL,East,"86,457,302",90,72,0.556,1,2,7,"90,182,500",Chipper Jones (10)
Los Angeles Dodgers,team roster,NL,West,"83,039,000",71,91,0.438,4,14,25,"92,902,001",JD Drew (48)
Houston Astros,team roster,NL,Central,"76,779,000",89,73,0.549,2,3,8,"75,397,000",Roger Clemens (6)
Chicago White Sox,team roster,AL,Central,"75,178,000",99,63,0.611,1,1,2,"65,212,500",Paul Konerko (60)
Baltimore Orioles,team roster,AL,East,"73,914,333",74,88,0.457,4,10,22,"51,623,333",Sammy Sosa (8)
Detroit Tigers,team roster,AL,Central,"69,092,000",71,91,0.438,4,11,24,"46,832,000",Bobby Higginson (59)
San Diego Padres,team roster,NL,West,"63,290,833",82,80,0.506,1,7,14,"55,384,833",Phil Nevin (45)
Arizona Diamondbacks,team roster,NL,West,"62,329,166",77,85,0.475,2,11,20,"69,780,750",Javier Vazquez (31)
Cincinnati Reds,team roster,NL,Central,"61,892,583",73,89,0.451,5,13,23,"46,615,250",Ken Griffey (23)
Florida Marlins,team roster,NL,East,"60,408,834",83,79,0.512,3,5,11,"42,143,042",Mike Lowell (86)
Minnesota Twins,team roster,AL,Central,"56,186,000",83,79,0.512,3,7,12,"53,585,000",Brad Radke (50)
Texas Rangers,team roster,AL,West,"55,849,000",79,83,0.488,3,9,18,"55,050,417",Chan Ho Park (14)
Oakland Athletics,team roster,AL,West,"55,425,762",88,74,0.543,2,6,10,"59,425,667",Jason Kendall (38)
Washington Nationals,team roster,NL,East,"48,581,500",81,81,0.5,5,9,15,"41,197,500",Livan Hernandez (70)
Colorado Rockies,team roster,NL,West,"48,155,000",67,95,0.414,5,16,27,"65,445,167",Todd Helton (22)
Toronto Blue Jays,team roster,AL,East,"45,719,500",80,82,0.494,3,8,17,"50,017,000",Roy Halladay (39)
Cleveland Indians,team roster,AL,Central,"41,502,500",93,69,0.574,2,5,6,"34,319,300",Kevin Millwood (104)
Milwaukee Brewers,team roster,NL,Central,"39,934,833",81,81,0.5,3,8,16,"27,528,500",Carlos Lee (70)
Pittsburgh Pirates,team roster,NL,Central,"38,133,000",67,95,0.414,6,15,28,"32,227,929",Matt Lawton (84)
Kansas City Royals,team roster,AL,Central,"36,881,000",56,106,0.346,5,14,30,"47,609,000",Mike Sweeney (31)
Tampa Bay Devil Rays,team roster,AL,East,"29,679,067",67,95,0.414,5,13,29,"29,556,667",Aubrey Huff (146)